order_detail_id,order_id,product_id,quantity,price,created_at,updated_at
1,IINI91PP812,B08ZN4B121,7,1599.0,2022-01-30,2022-01-30
2,IINI91PP812,B0B94JPY2N,13,999.0,2022-01-30,2022-01-30
3,IINI91PP812,B07MP21WJD,9,299.0,2022-01-30,2022-01-30
4,IINI91PP812,B08G43CCLC,9,999.0,2022-01-30,2022-01-30
5,ONNA03MN757,B0B217Z5VK,5,3999.0,2021-01-03,2021-01-03
6,ONNA03MN757,B08RWCZ6SY,7,899.0,2021-01-03,2021-01-03
7,NPCC44AC852,B07QDSN9V6,11,1595.0,2022-09-08,2022-09-08
8,MMIM69AM147,B089BDBDGM,7,249.0,2021-06-26,2021-06-26
9,MCIA31MO690,B0883LQJ6B,8,1690.0,2021-07-09,2021-07-09
10,MCIA31MO690,B0718ZN31Q,2,4999.0,2021-07-09,2021-07-09
11,MCIA31MO690,B09DSXK8JX,12,19499.0,2021-07-09,2021-07-09
12,MCIA31MO690,B07WGPKTS4,4,19999.0,2021-07-09,2021-07-09
13,MCIA31MO690,B09GFPVD9Y,15,10999.0,2021-07-09,2021-07-09
14,MCIA31MO690,B09KPXTZXN,15,1999.0,2021-07-09,2021-07-09
15,MCIA31MO690,B00TI8E7BI,12,2695.0,2021-07-09,2021-07-09
16,IANC47AM423,B07PFJ5W31,1,495.0,2022-10-04,2022-10-04
17,IANC47AM423,B00KXULGJQ,6,5499.0,2022-10-04,2022-10-04
18,IANC47AM423,B003L62T7W,9,375.0,2022-10-04,2022-10-04
19,IANC47AM423,B06XGWRKYT,4,15999.0,2022-10-04,2022-10-04
20,IANC47AM423,B0832W3B7Q,9,3595.0,2022-10-04,2022-10-04
21,IANC47AM423,B08XMSKKMM,4,1999.0,2022-10-04,2022-10-04
22,NPIP33OI307,B07RZZ1QSW,3,799.0,2022-02-14,2022-02-14
23,NPIP33OI307,B0B8SSC5D9,5,1999.0,2022-02-14,2022-02-14
24,NPIP33OI307,B082LZGK39,2,299.0,2022-02-14,2022-02-14
25,NPIP33OI307,B07RZZ1QSW,7,799.0,2022-02-14,2022-02-14
26,NPIP33OI307,B08NCKT9FG,5,798.0,2022-02-14,2022-02-14
27,NPIP33OI307,B0BGPN4GGH,15,2400.0,2022-02-14,2022-02-14
28,AOCO44AC037,B0123P3PWE,7,1075.0,2022-08-03,2022-08-03
29,AOCO44AC037,B09MTLG4TP,1,999.0,2022-08-03,2022-08-03
30,AOCO44AC037,B079Y6JZC8,3,299.0,2022-08-03,2022-08-03
31,AOCO44AC037,B0B6BLTGTT,2,5999.0,2022-08-03,2022-08-03
32,AOCO44AC037,B0BDZWMGZ1,15,2990.0,2022-08-03,2022-08-03
33,APMI05CP558,B07M69276N,12,2499.0,2022-02-01,2022-02-01
34,APMI05CP558,B08235JZFB,12,1000.0,2022-02-01,2022-02-01
35,APMI05CP558,B00Y4ORQ46,3,795.0,2022-02-01,2022-02-01
36,POOA33NM414,B086199CWG,3,4799.0,2021-08-01,2021-08-01
37,POOA33NM414,B07WKBD37W,4,999.0,2021-08-01,2021-08-01
38,IMMM96AC528,B095244Q22,8,999.0,2021-04-08,2021-04-08
39,IMMM96AC528,B09N6TTHT6,3,99.0,2021-04-08,2021-04-08
40,IMMM96AC528,B07L8KNP5F,13,1399.0,2021-04-08,2021-04-08
41,AIAP53NA160,B0819HZPXL,13,549.0,2022-09-30,2022-09-30
42,AIAP53NA160,B09Q8WQ5QJ,10,499.0,2022-09-30,2022-09-30
43,AIAP53NA160,B08MWJTST6,6,1299.0,2022-09-30,2022-09-30
44,AIAP53NA160,B08D75R3Z1,4,1900.0,2022-09-30,2022-09-30
45,PMMC74AI218,B086394NY5,7,2490.0,2022-09-10,2022-09-10
46,PMMC74AI218,B0BHZCNC4P,6,3999.0,2022-09-10,2022-09-10
47,PMMC74AI218,B0BCVJ3PVP,11,1299.0,2022-09-10,2022-09-10
48,PMMC74AI218,B07S7DCJKS,7,499.0,2022-09-10,2022-09-10
49,PMMC74AI218,B0BCZCQTJX,10,3999.0,2022-09-10,2022-09-10
50,AAMI65AP544,B08D75R3Z1,10,1900.0,2022-02-04,2022-02-04
51,AAMI65AP544,B08MVXPTDG,4,4200.0,2022-02-04,2022-02-04
52,AAMI65AP544,B08CZHGHKH,10,1399.0,2022-02-04,2022-02-04
53,AAMI65AP544,B0756CLQWL,9,3999.0,2022-02-04,2022-02-04
54,AAMI65AP544,B0B3RS9DNF,2,9999.0,2022-02-04,2022-02-04
55,POCO45OC178,B01L6MT7E0,9,11995.0,2021-09-28,2021-09-28
56,PNPP59CM226,B07LFWP97N,4,1099.0,2021-03-10,2021-03-10
57,PNPP59CM226,B08TM71L54,6,4195.0,2021-03-10,2021-03-10
58,PNPP59CM226,B08FTFXNNB,13,1999.0,2021-03-10,2021-03-10
59,PNPP59CM226,B01M0505SJ,14,2485.0,2021-03-10,2021-03-10
60,PNPP59CM226,B09TP5KBN7,6,1099.0,2021-03-10,2021-03-10
61,PNPP59CM226,B0BCKWZ884,5,2999.0,2021-03-10,2021-03-10
62,PNPP59CM226,B08MVXPTDG,1,4200.0,2021-03-10,2021-03-10
63,MPAI82AO102,B08J82K4GX,9,19110.0,2021-10-01,2021-10-01
64,MPAI82AO102,B08CFJBZRK,6,6295.0,2021-10-01,2021-10-01
65,MPAI82AO102,B097JQ1J5G,4,499.0,2021-10-01,2021-10-01
66,MPAI82AO102,B0B5GF6DQD,15,5999.0,2021-10-01,2021-10-01
67,AIMN31PN526,B08TDJNM3G,14,59.0,2022-04-13,2022-04-13
68,IANC05AP215,B086WMSCN3,12,5999.0,2022-08-29,2022-08-29
69,NOCO89CC732,B06XMZV7RH,14,499.0,2022-12-13,2022-12-13
70,NOCO89CC732,B0BD92GDQH,13,6999.0,2022-12-13,2022-12-13
71,NMIN32OO063,B09MKP344P,5,12999.0,2021-11-19,2021-11-19
72,NMIN32OO063,B084N1BM9L,15,1999.0,2021-11-19,2021-11-19
73,NMIN32OO063,B08461VC1Z,3,1995.0,2021-11-19,2021-11-19
74,NMIN32OO063,B0756CLQWL,9,3999.0,2021-11-19,2021-11-19
75,NMIN32OO063,B086199CWG,8,4799.0,2021-11-19,2021-11-19
76,NMIN32OO063,B00MFPCY5C,7,299.0,2021-11-19,2021-11-19
77,NPOA02PO977,B0BDYVC5TD,12,1800.0,2022-07-31,2022-07-31
78,NPOA02PO977,B078JBK4GX,7,4560.0,2022-07-31,2022-07-31
79,CCOA32NI392,B07SBGFDX9,8,120.0,2021-07-02,2021-07-02
80,CCOA32NI392,B07232M876,5,395.0,2021-07-02,2021-07-02
81,CCOA32NI392,B0B61DSF17,13,1999.0,2021-07-02,2021-07-02
82,CCOA32NI392,B09HS1NDRQ,12,799.0,2021-07-02,2021-07-02
83,CCOA32NI392,B0B3DV7S9B,10,499.0,2021-07-02,2021-07-02
84,ACMA24CI703,B09VH568H7,3,299.0,2022-07-28,2022-07-28
85,ACMA24CI703,B07QZ3CZ48,12,1290.0,2022-07-28,2022-07-28
86,ACMA24CI703,B09P18XVW6,13,4999.0,2022-07-28,2022-07-28
87,ACMA24CI703,B097ZQTDVZ,5,899.0,2022-07-28,2022-07-28
88,ACMA24CI703,B07L5L4GTB,15,404.0,2022-07-28,2022-07-28
89,ACMA24CI703,B0B4PPD89B,4,79.0,2022-07-28,2022-07-28
90,ACMA24CI703,B08CYPB15D,12,761.0,2022-07-28,2022-07-28
91,OMAA44IN067,B09LMMFW3S,15,399.0,2022-04-16,2022-04-16
92,MCAM79PC949,B0B56YRBNT,13,13499.0,2021-07-26,2021-07-26
93,OIAN87PA120,B07S7DCJKS,1,499.0,2021-02-12,2021-02-12
94,OIAN87PA120,B081RLM75M,13,599.0,2021-02-12,2021-02-12
95,OIAN87PA120,B0BNVBJW2S,3,7990.0,2021-02-12,2021-02-12
96,OIAN87PA120,B08235JZFB,7,1000.0,2021-02-12,2021-02-12
97,NIMC69AC690,B00N1U7JXM,11,175.0,2021-12-09,2021-12-09
98,NIMC69AC690,B0BBMGLQDW,4,1999.0,2021-12-09,2021-12-09
99,NIMC69AC690,B095244Q22,9,999.0,2021-12-09,2021-12-09
100,NIMC69AC690,B07J2NGB69,7,1390.0,2021-12-09,2021-12-09
