order_id,customer_id,order_date,status,created_at,updated_at
IINI91PP812,697,2022-01-30,Success,2022-01-30,2022-01-31
ONNA03MN757,172,2021-01-03,Success,2021-01-03,2021-01-04
NPCC44AC852,824,2022-09-08,Success,2022-09-08,2022-09-09
MMIM69AM147,947,2021-06-26,Success,2021-06-26,2021-06-27
MCIA31MO690,336,2021-07-09,Success,2021-07-09,2021-07-10
IANC47AM423,965,2022-10-04,Canceled,2022-10-04,2022-10-04
NMCI31AN413,680,2021-03-09,Success,2021-03-09,2021-03-10
NPIP33OI307,994,2022-02-14,Success,2022-02-14,2022-02-15
AOCO44AC037,128,2022-08-03,Success,2022-08-03,2022-08-04
AAPP73OP114,624,2021-11-01,Success,2021-11-01,2021-11-02
APMI05CP558,537,2022-02-01,Success,2022-02-01,2022-02-02
OOMN48CC152,926,2022-05-16,Success,2022-05-16,2022-05-17
POOA33NM414,433,2021-08-01,Success,2021-08-01,2021-08-02
CMCI13CI706,311,2022-10-05,Success,2022-10-05,2022-10-06
IMMM96AC528,774,2021-04-08,Success,2021-04-08,2021-04-09
AIAP53NA160,741,2022-09-30,Success,2022-09-30,2022-10-01
PMMC74AI218,658,2022-09-10,Success,2022-09-10,2022-09-11
AAMI65AP544,963,2022-02-04,Success,2022-02-04,2022-02-05
POCO45OC178,331,2021-09-28,Success,2021-09-28,2021-09-29
PNPP59CM226,662,2021-03-10,Success,2021-03-10,2021-03-11
MPAI82AO102,389,2021-10-01,Success,2021-10-01,2021-10-02
AIMN31PN526,769,2022-04-13,Success,2022-04-13,2022-04-14
IANC05AP215,294,2022-08-29,Success,2022-08-29,2022-08-30
NOCO89CC732,749,2022-12-13,Success,2022-12-13,2022-12-14
NMIN32OO063,314,2021-11-19,Canceled,2021-11-19,2021-11-19
PNCA57MM691,377,2022-08-27,Success,2022-08-27,2022-08-28
OCIA09CI804,641,2021-09-02,Success,2021-09-02,2021-09-03
NPOA02PO977,570,2022-07-31,Success,2022-07-31,2022-08-01
IONN86ON753,234,2021-08-24,Success,2021-08-24,2021-08-25
CCOA32NI392,784,2021-07-02,Success,2021-07-02,2021-07-03
ACMA24CI703,512,2022-07-28,Success,2022-07-28,2022-07-29
OAAO43PI306,710,2021-05-06,Success,2021-05-06,2021-05-07
OMAA44IN067,824,2022-04-16,Success,2022-04-16,2022-04-17
MMMA64CA016,641,2022-06-15,Success,2022-06-15,2022-06-16
MCAM79PC949,949,2021-07-26,Success,2021-07-26,2021-07-27
OIAN87PA120,791,2021-02-12,Success,2021-02-12,2021-02-13
NAPI27AC059,158,2021-06-29,Success,2021-06-29,2021-06-30
