subcategory_id,name,category_id,description,created_at,updated_at
1,USBCables,1,USBCables is Mind crime recent morning action.,2021-01-01,2021-01-01
2,WirelessUSBAdapters,1,WirelessUSBAdapters is Smile commercial character amount big animal.,2021-01-01,2021-01-01
3,HDMICables,2,HDMICables is Street none poor whether concern themselves within.,2021-01-01,2021-01-01
4,SmartTelevisions,2,SmartTelevisions is Leader exactly less itself former discuss them.,2021-01-01,2021-01-01
5,RemoteControls,2,RemoteControls is Expect about success citizen price six statement start.,2021-01-01,2021-01-01
6,StandardTelevisions,2,StandardTelevisions is Follow religious analysis pressure conference unit lay finish window.,2021-01-01,2021-01-01
7,TVWall&CeilingMounts,2,TVWall&CeilingMounts is Remain people business film well tough hour with.,2021-01-01,2021-01-01
8,RCACables,2,RCACables is Consider civil half my none wife keep main.,2021-01-01,2021-01-01
9,Mounts,2,Mounts is Money response maybe memory yes compare difficult respond should check.,2021-01-01,2021-01-01
10,OpticalCables,2,OpticalCables is Great evidence situation group be rate among hair then wonder.,2021-01-01,2021-01-01
11,Projectors,2,Projectors is Minute with newspaper media security job everyone participant show.,2021-01-01,2021-01-01
12,Adapters,2,Adapters is Institution claim future national anyone begin impact in data style across.,2021-01-01,2021-01-01
13,SatelliteReceivers,2,SatelliteReceivers is Consumer between brother property Mr just camera south show smile.,2021-01-01,2021-01-01
14,DVICables,1,DVICables is Half rate enter thus event mission.,2021-01-01,2021-01-01
15,SpeakerCables,2,SpeakerCables is Cause green political policy mother strategy phone her leave what.,2021-01-01,2021-01-01
16,StreamingClients,2,StreamingClients is Single price than bit hotel early cost side store air.,2021-01-01,2021-01-01
17,AVReceivers&Amplifiers,2,AVReceivers&Amplifiers is Reason modern theory this course.,2021-01-01,2021-01-01
18,TowerSpeakers,2,TowerSpeakers is Stuff section mean cell allow side away painting.,2021-01-01,2021-01-01
19,3DGlasses,2,3DGlasses is Rate play eight body parent effect child.,2021-01-01,2021-01-01
20,SmartWatches,2,SmartWatches is Kitchen employee whatever finish determine.,2021-01-01,2021-01-01
21,PowerBanks,2,PowerBanks is Top including rule work include which concern.,2021-01-01,2021-01-01
22,Smartphones,2,Smartphones is Whose must check factor role baby difference concern.,2021-01-01,2021-01-01
23,MicroSD,2,MicroSD is Through during special person size news join.,2021-01-01,2021-01-01
24,BasicMobiles,2,BasicMobiles is Score event space five follow general through light student.,2021-01-01,2021-01-01
25,In-Ear,2,In-Ear is Central number north bank argue should baby collection.,2021-01-01,2021-01-01
26,AutomobileChargers,2,AutomobileChargers is Black maintain say child hotel.,2021-01-01,2021-01-01
27,Cradles,2,Cradles is Many bring home nation subject want commercial trial game.,2021-01-01,2021-01-01
28,WallChargers,2,WallChargers is Both notice order why right technology election agency product film.,2021-01-01,2021-01-01
29,OTGAdapters,2,OTGAdapters is Determine likely stay movie wish experience behavior large conference sit.,2021-01-01,2021-01-01
30,Tripods,2,Tripods is Subject check across recent buy start here power easy environment nearly.,2021-01-01,2021-01-01
31,SelfieSticks,2,SelfieSticks is Stay specific mouth fall to decide.,2021-01-01,2021-01-01
32,Stands,2,Stands is Story television population decide assume fly.,2021-01-01,2021-01-01
33,CableConnectionProtectors,1,CableConnectionProtectors is Wrong try street win stock.,2021-01-01,2021-01-01
34,Décor,2,Décor is Son local poor local song development once.,2021-01-01,2021-01-01
35,ScreenProtectors,2,ScreenProtectors is Them professor pick walk site born store out down.,2021-01-01,2021-01-01
36,StylusPens,2,StylusPens is Pattern clear be girl early.,2021-01-01,2021-01-01
37,Bedstand&DeskMounts,2,Bedstand&DeskMounts is Technology recently if west federal center against case recent sort.,2021-01-01,2021-01-01
38,BasicCases,2,BasicCases is Time cup another wear sort pass pick stand realize tough.,2021-01-01,2021-01-01
39,HandlebarMounts,2,HandlebarMounts is Bed vote few must party particular drive.,2021-01-01,2021-01-01
40,On-Ear,2,On-Ear is Upon second behind trip which everybody.,2021-01-01,2021-01-01
41,CameraPrivacyCovers,1,CameraPrivacyCovers is Account back rule international or across chance type no.,2021-01-01,2021-01-01
42,PhoneCharms,2,PhoneCharms is Read strategy owner audience side speech sign.,2021-01-01,2021-01-01
43,Shower&WallMounts,2,Shower&WallMounts is Where opportunity employee range eye front responsibility part team there.,2021-01-01,2021-01-01
44,PenDrives,1,PenDrives is Turn official other morning step development tonight.,2021-01-01,2021-01-01
45,Mice,1,Mice is Teach front century entire wrong around summer realize.,2021-01-01,2021-01-01
46,GraphicTablets,1,GraphicTablets is Site policy into herself well individual Mrs player add foreign.,2021-01-01,2021-01-01
47,Lapdesks,1,Lapdesks is According school young data how.,2021-01-01,2021-01-01
48,NotebookComputerStands,1,NotebookComputerStands is Notice include trade carry series enter police should economy hour often.,2021-01-01,2021-01-01
49,Keyboards,1,Keyboards is Head policy prepare every our money prepare site whatever left.,2021-01-01,2021-01-01
50,Condenser,3,Condenser is House appear trial nor product top describe agent.,2021-01-01,2021-01-01
51,DisposableBatteries,2,DisposableBatteries is Quality often everyone western begin marriage position someone.,2021-01-01,2021-01-01
52,GelInkRollerballPens,4,GelInkRollerballPens is Interest hundred seven including.,2021-01-01,2021-01-01
53,Tape,5,Tape is Sit issue professional economy include.,2021-01-01,2021-01-01
54,Keyboard&MouseSets,1,Keyboard&MouseSets is Care of real ago while debate project body you example.,2021-01-01,2021-01-01
55,ExternalHardDisks,1,ExternalHardDisks is Audience among must score attack people citizen PM poor.,2021-01-01,2021-01-01
56,VideoCameras,2,VideoCameras is Require standard subject hit southern card nation.,2021-01-01,2021-01-01
57,Tabletop&TravelTripods,2,Tabletop&TravelTripods is Institution budget card have issue beautiful story.,2021-01-01,2021-01-01
58,Scientific,4,Scientific is Letter first budget country blood American left.,2021-01-01,2021-01-01
59,Repeaters&Extenders,1,Repeaters&Extenders is Manage vote total shoulder any customer place civil.,2021-01-01,2021-01-01
60,TripodLegs,2,TripodLegs is Respond career wide change great recently.,2021-01-01,2021-01-01
61,InkjetInkCartridges,1,InkjetInkCartridges is Above wrong story writer offer tax court myself hand.,2021-01-01,2021-01-01
62,DustCovers,1,DustCovers is Policy into range hand national loss.,2021-01-01,2021-01-01
63,GamingMice,1,GamingMice is Employee be from environmental perform example build eight area.,2021-01-01,2021-01-01
64,Paints,5,Paints is Program offer edge democratic not edge amount thought strong medical.,2021-01-01,2021-01-01
65,MousePads,1,MousePads is Almost likely girl interest result executive economic bad full fall.,2021-01-01,2021-01-01
